,embedding__n_grams,embedding__tipo_embedding,model__regularizacao,normalization__tipo_normalizacao,preprocessing__aplicar_processamento,mean_test_score,std_test_score
0,1,BOW,Ridge,nenhuma,True,-10.074842869531663,4.203653775372318
1,1,BOW,Ridge,nenhuma,False,-9.692450025366824,3.9960894993769625
2,1,BOW,Ridge,minmax,True,-9.95478253091301,4.235917660326768
3,1,BOW,Ridge,minmax,False,-9.612345950838435,4.006381796278498
4,1,BOW,Ridge,standard,True,-10.081672928808088,4.20141568524486
5,1,BOW,Ridge,standard,False,-9.697074363898723,3.9939342148682044
6,1,BOW,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
7,1,BOW,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
8,1,BOW,Lasso,minmax,True,-10.784189697916666,4.346217015412189
9,1,BOW,Lasso,minmax,False,-10.784189697916666,4.346217015412189
10,1,BOW,Lasso,standard,True,-10.784189697916666,4.346217015412189
11,1,BOW,Lasso,standard,False,-10.784189697916666,4.346217015412189
12,1,BOW,ElasticNet,nenhuma,True,-10.771756948556794,4.348912708423503
13,1,BOW,ElasticNet,nenhuma,False,-10.743262069537804,4.348011173995351
14,1,BOW,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
15,1,BOW,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
16,1,BOW,ElasticNet,standard,True,-9.601106961134297,4.3241379981421355
17,1,BOW,ElasticNet,standard,False,-9.449300945340644,4.210907063078547
18,1,TF-IDF,Ridge,nenhuma,True,-9.549170620533296,4.0136837127929885
19,1,TF-IDF,Ridge,nenhuma,False,-9.374879853627546,4.043944452272978
20,1,TF-IDF,Ridge,minmax,True,-9.560589123983396,4.007420408891214
21,1,TF-IDF,Ridge,minmax,False,-9.384382799160392,4.038240096068654
22,1,TF-IDF,Ridge,standard,True,-9.57383355266036,4.002145066661729
23,1,TF-IDF,Ridge,standard,False,-9.395694410314503,4.036738363534265
24,1,TF-IDF,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
25,1,TF-IDF,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
26,1,TF-IDF,Lasso,minmax,True,-10.784189697916666,4.346217015412189
27,1,TF-IDF,Lasso,minmax,False,-10.784189697916666,4.346217015412189
28,1,TF-IDF,Lasso,standard,True,-10.784189697916666,4.346217015412189
29,1,TF-IDF,Lasso,standard,False,-10.784189697916666,4.346217015412189
30,1,TF-IDF,ElasticNet,nenhuma,True,-10.784189697916666,4.346217015412189
31,1,TF-IDF,ElasticNet,nenhuma,False,-10.784189697916666,4.346217015412189
32,1,TF-IDF,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
33,1,TF-IDF,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
34,1,TF-IDF,ElasticNet,standard,True,-9.598033621761875,4.264677947865582
35,1,TF-IDF,ElasticNet,standard,False,-9.518164199261472,4.250964147815105
36,1,WORD2VEC,Ridge,nenhuma,True,-10.021584400808438,4.166072785177778
37,1,WORD2VEC,Ridge,nenhuma,False,-10.227342537143567,4.278630351464396
38,1,WORD2VEC,Ridge,minmax,True,-9.941302303403361,4.197251363041845
39,1,WORD2VEC,Ridge,minmax,False,-10.211907728193749,4.310229823787102
40,1,WORD2VEC,Ridge,standard,True,-10.031027641365503,4.1589190279028205
41,1,WORD2VEC,Ridge,standard,False,-10.260234187463944,4.26757332731036
42,1,WORD2VEC,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
43,1,WORD2VEC,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
44,1,WORD2VEC,Lasso,minmax,True,-10.784189697916666,4.346217015412189
45,1,WORD2VEC,Lasso,minmax,False,-10.784189697916666,4.346217015412189
46,1,WORD2VEC,Lasso,standard,True,-10.784189697916666,4.346217015412189
47,1,WORD2VEC,Lasso,standard,False,-10.784189697916666,4.346217015412189
48,1,WORD2VEC,ElasticNet,nenhuma,True,-10.782110189732036,4.34460076615948
49,1,WORD2VEC,ElasticNet,nenhuma,False,-10.779555553855502,4.352327790936302
50,1,WORD2VEC,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
51,1,WORD2VEC,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
52,1,WORD2VEC,ElasticNet,standard,True,-10.501775076510617,4.349928777363179
53,1,WORD2VEC,ElasticNet,standard,False,-10.464713667619021,4.3549081862884655
54,2,BOW,Ridge,nenhuma,True,-9.894769441484705,4.0561733335571235
55,2,BOW,Ridge,nenhuma,False,-9.846868507442563,4.160554767727314
56,2,BOW,Ridge,minmax,True,-9.74686879788777,4.063787374795481
57,2,BOW,Ridge,minmax,False,-9.7468309223401,4.145182571098491
58,2,BOW,Ridge,standard,True,-9.923446815117499,4.047770749240229
59,2,BOW,Ridge,standard,False,-9.851827447167716,4.155953062668853
60,2,BOW,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
61,2,BOW,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
62,2,BOW,Lasso,minmax,True,-10.784189697916666,4.346217015412189
63,2,BOW,Lasso,minmax,False,-10.784189697916666,4.346217015412189
64,2,BOW,Lasso,standard,True,-10.784189697916666,4.346217015412189
65,2,BOW,Lasso,standard,False,-10.784189697916666,4.346217015412189
66,2,BOW,ElasticNet,nenhuma,True,-10.771756948556794,4.348912708423503
67,2,BOW,ElasticNet,nenhuma,False,-10.737959476792483,4.348154672693013
68,2,BOW,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
69,2,BOW,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
70,2,BOW,ElasticNet,standard,True,-9.419621009912177,4.200668983222163
71,2,BOW,ElasticNet,standard,False,-9.616958103817902,4.347407635173195
72,2,TF-IDF,Ridge,nenhuma,True,-9.411711636005597,3.994075351852973
73,2,TF-IDF,Ridge,nenhuma,False,-9.386515072068692,4.130564268205531
74,2,TF-IDF,Ridge,minmax,True,-9.440067735550832,3.986952641841761
75,2,TF-IDF,Ridge,minmax,False,-9.399293346375485,4.11943952004906
76,2,TF-IDF,Ridge,standard,True,-9.467710155987817,3.987655567971657
77,2,TF-IDF,Ridge,standard,False,-9.418998033192251,4.116392642330383
78,2,TF-IDF,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
79,2,TF-IDF,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
80,2,TF-IDF,Lasso,minmax,True,-10.784189697916666,4.346217015412189
81,2,TF-IDF,Lasso,minmax,False,-10.784189697916666,4.346217015412189
82,2,TF-IDF,Lasso,standard,True,-10.784189697916666,4.346217015412189
83,2,TF-IDF,Lasso,standard,False,-10.784189697916666,4.346217015412189
84,2,TF-IDF,ElasticNet,nenhuma,True,-10.784189697916666,4.346217015412189
85,2,TF-IDF,ElasticNet,nenhuma,False,-10.784189697916666,4.346217015412189
86,2,TF-IDF,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
87,2,TF-IDF,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
88,2,TF-IDF,ElasticNet,standard,True,-9.538282584671434,4.262452896177327
89,2,TF-IDF,ElasticNet,standard,False,-9.55975174541898,4.3361242351203675
90,2,WORD2VEC,Ridge,nenhuma,True,-10.021769180856813,4.172158267581221
91,2,WORD2VEC,Ridge,nenhuma,False,-10.271547267724447,4.295179020295125
92,2,WORD2VEC,Ridge,minmax,True,-9.947746075991214,4.174757948218582
93,2,WORD2VEC,Ridge,minmax,False,-10.169072347679235,4.290276953397497
94,2,WORD2VEC,Ridge,standard,True,-10.035175639447965,4.17896974157141
95,2,WORD2VEC,Ridge,standard,False,-10.281468280055535,4.2970120918474155
96,2,WORD2VEC,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
97,2,WORD2VEC,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
98,2,WORD2VEC,Lasso,minmax,True,-10.784189697916666,4.346217015412189
99,2,WORD2VEC,Lasso,minmax,False,-10.784189697916666,4.346217015412189
100,2,WORD2VEC,Lasso,standard,True,-10.784189697916666,4.346217015412189
101,2,WORD2VEC,Lasso,standard,False,-10.784189697916666,4.346217015412189
102,2,WORD2VEC,ElasticNet,nenhuma,True,-10.710243416099148,4.346840074461384
103,2,WORD2VEC,ElasticNet,nenhuma,False,-10.73960648097352,4.35665692243902
104,2,WORD2VEC,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
105,2,WORD2VEC,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
106,2,WORD2VEC,ElasticNet,standard,True,-10.44870109225136,4.326318449763442
107,2,WORD2VEC,ElasticNet,standard,False,-10.459285578920232,4.3510308937306545
108,3,BOW,Ridge,nenhuma,True,-9.824986775975697,4.066635413493815
109,3,BOW,Ridge,nenhuma,False,-10.183694486229461,4.169991132424945
110,3,BOW,Ridge,minmax,True,-9.708588264157624,4.05866273274663
111,3,BOW,Ridge,minmax,False,-10.161490987810039,4.214649356712358
112,3,BOW,Ridge,standard,True,-9.841779256940788,4.06311664078453
113,3,BOW,Ridge,standard,False,-10.204634249409315,4.148982036036017
114,3,BOW,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
115,3,BOW,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
116,3,BOW,Lasso,minmax,True,-10.784189697916666,4.346217015412189
117,3,BOW,Lasso,minmax,False,-10.784189697916666,4.346217015412189
118,3,BOW,Lasso,standard,True,-10.784189697916666,4.346217015412189
119,3,BOW,Lasso,standard,False,-10.784189697916666,4.346217015412189
120,3,BOW,ElasticNet,nenhuma,True,-10.771756948556794,4.348912708423503
121,3,BOW,ElasticNet,nenhuma,False,-10.737959476792483,4.348154672693013
122,3,BOW,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
123,3,BOW,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
124,3,BOW,ElasticNet,standard,True,-9.426704028126114,4.205780400149626
125,3,BOW,ElasticNet,standard,False,-10.086815316780571,4.375895720115396
126,3,TF-IDF,Ridge,nenhuma,True,-9.382991827576907,4.030113156973347
127,3,TF-IDF,Ridge,nenhuma,False,-9.704967595594452,4.122620917364689
128,3,TF-IDF,Ridge,minmax,True,-9.402810209274506,4.022282638493928
129,3,TF-IDF,Ridge,minmax,False,-9.721432057266638,4.120745317460414
130,3,TF-IDF,Ridge,standard,True,-9.425936660437367,4.019810769779696
131,3,TF-IDF,Ridge,standard,False,-9.739118948556138,4.119352184207786
132,3,TF-IDF,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
133,3,TF-IDF,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
134,3,TF-IDF,Lasso,minmax,True,-10.784189697916666,4.346217015412189
135,3,TF-IDF,Lasso,minmax,False,-10.784189697916666,4.346217015412189
136,3,TF-IDF,Lasso,standard,True,-10.784189697916666,4.346217015412189
137,3,TF-IDF,Lasso,standard,False,-10.784189697916666,4.346217015412189
138,3,TF-IDF,ElasticNet,nenhuma,True,-10.784189697916666,4.346217015412189
139,3,TF-IDF,ElasticNet,nenhuma,False,-10.784189697916666,4.346217015412189
140,3,TF-IDF,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
141,3,TF-IDF,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
142,3,TF-IDF,ElasticNet,standard,True,-9.541153283744102,4.283145023094152
143,3,TF-IDF,ElasticNet,standard,False,-9.94984091222063,4.344618506623665
144,3,WORD2VEC,Ridge,nenhuma,True,-10.028806640039287,4.15382189975921
145,3,WORD2VEC,Ridge,nenhuma,False,-10.324115581691627,4.308013770748171
146,3,WORD2VEC,Ridge,minmax,True,-9.978973962515619,4.163090807015369
147,3,WORD2VEC,Ridge,minmax,False,-10.221030696368832,4.277349458291677
148,3,WORD2VEC,Ridge,standard,True,-10.051759859172128,4.133395161046673
149,3,WORD2VEC,Ridge,standard,False,-10.291246453177079,4.2632452621234505
150,3,WORD2VEC,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
151,3,WORD2VEC,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
152,3,WORD2VEC,Lasso,minmax,True,-10.784189697916666,4.346217015412189
153,3,WORD2VEC,Lasso,minmax,False,-10.784189697916666,4.346217015412189
154,3,WORD2VEC,Lasso,standard,True,-10.784189697916666,4.346217015412189
155,3,WORD2VEC,Lasso,standard,False,-10.784189697916666,4.346217015412189
156,3,WORD2VEC,ElasticNet,nenhuma,True,-10.673986471680228,4.368073200686912
157,3,WORD2VEC,ElasticNet,nenhuma,False,-10.73129181634051,4.3527553656519755
158,3,WORD2VEC,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
159,3,WORD2VEC,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
160,3,WORD2VEC,ElasticNet,standard,True,-10.444755362966434,4.344996832635934
161,3,WORD2VEC,ElasticNet,standard,False,-10.472663401589378,4.343769291663226
